match_number,date_local,fixture_kickoff_utc,kickoff_utc,kickoff_beijing,stage,stage_cn,group,home_team,away_team,stadium,host_city,status,status_state,completed,home_score,away_score,attendance,espn_event_id,espn_summary_url,espn_stats_url,fixture_url,time_discrepancy_note,source
14,2026-06-15,2026-06-15T16:00:00Z,2026-06-15T16:00:00Z,2026-06-16T00:00+08:00,group-stage,小组赛,H,Spain,Cabo Verde,Mercedes-Benz Stadium,atlanta,Full Time,post,True,0,0,67640,760428,https://www.espn.com/soccer/match/_/gameId/760428/cape-verde-spain,https://www.espn.com/soccer/matchstats/_/gameId/760428,https://www.thestatsapi.com/world-cup/matches/spain-vs-cabo-verde-2026-06-15,,TheStatsAPI fixtures + ESPN scoreboard
15,2026-06-15,2026-06-16T01:00:00Z,2026-06-16T01:00:00Z,2026-06-16T09:00+08:00,group-stage,小组赛,G,IR Iran,New Zealand,SoFi Stadium,los-angeles,Full Time,post,True,2,2,70108,760427,https://www.espn.com/soccer/match/_/gameId/760427/new-zealand-iran,https://www.espn.com/soccer/matchstats/_/gameId/760427,https://www.thestatsapi.com/world-cup/matches/ir-iran-vs-new-zealand-2026-06-15,,TheStatsAPI fixtures + ESPN scoreboard
16,2026-06-15,2026-06-15T19:00:00Z,2026-06-15T19:00:00Z,2026-06-16T03:00+08:00,group-stage,小组赛,G,Belgium,Egypt,Lumen Field,seattle,Full Time,post,True,1,1,66775,760426,https://www.espn.com/soccer/match/_/gameId/760426/egypt-belgium,https://www.espn.com/soccer/matchstats/_/gameId/760426,https://www.thestatsapi.com/world-cup/matches/belgium-vs-egypt-2026-06-15,,TheStatsAPI fixtures + ESPN scoreboard
17,2026-06-16,2026-06-16T19:00:00Z,2026-06-16T19:00:00Z,2026-06-17T03:00+08:00,group-stage,小组赛,I,France,Senegal,MetLife Stadium,new-york,Full Time,post,True,3,1,80545,760432,https://www.espn.com/soccer/match/_/gameId/760432/senegal-france,https://www.espn.com/soccer/matchstats/_/gameId/760432,https://www.thestatsapi.com/world-cup/matches/france-vs-senegal-2026-06-16,,TheStatsAPI fixtures + ESPN scoreboard
18,2026-06-16,2026-06-16T22:00:00Z,2026-06-16T22:00:00Z,2026-06-17T06:00+08:00,group-stage,小组赛,I,Iraq,Norway,Gillette Stadium,boston,Full Time,post,True,1,4,63106,760430,https://www.espn.com/soccer/match/_/gameId/760430/norway-iraq,https://www.espn.com/soccer/matchstats/_/gameId/760430,https://www.thestatsapi.com/world-cup/matches/iraq-vs-norway-2026-06-16,,TheStatsAPI fixtures + ESPN scoreboard
19,2026-06-16,2026-06-17T01:00:00Z,2026-06-17T01:00:00Z,2026-06-17T09:00+08:00,group-stage,小组赛,J,Argentina,Algeria,Arrowhead Stadium,kansas-city,Full Time,post,True,3,0,69045,760433,https://www.espn.com/soccer/match/_/gameId/760433/algeria-argentina,https://www.espn.com/soccer/matchstats/_/gameId/760433,https://www.thestatsapi.com/world-cup/matches/argentina-vs-algeria-2026-06-16,,TheStatsAPI fixtures + ESPN scoreboard
20,2026-06-16,2026-06-17T04:00:00Z,2026-06-17T04:00:00Z,2026-06-17T12:00+08:00,group-stage,小组赛,J,Austria,Jordan,Levi's Stadium,san-francisco,Full Time,post,True,3,1,68527,760431,https://www.espn.com/soccer/match/_/gameId/760431/jordan-austria,https://www.espn.com/soccer/matchstats/_/gameId/760431,https://www.thestatsapi.com/world-cup/matches/austria-vs-jordan-2026-06-16,,TheStatsAPI fixtures + ESPN scoreboard
21,2026-06-17,2026-06-17T23:00:00Z,2026-06-17T23:00:00Z,2026-06-18T07:00+08:00,group-stage,小组赛,L,Ghana,Panama,BMO Field,toronto,Full Time,post,True,1,0,42942,760434,https://www.espn.com/soccer/match/_/gameId/760434/panama-ghana,https://www.espn.com/soccer/matchstats/_/gameId/760434,https://www.thestatsapi.com/world-cup/matches/ghana-vs-panama-2026-06-17,,TheStatsAPI fixtures + ESPN scoreboard
22,2026-06-17,2026-06-17T20:00:00Z,2026-06-17T20:00:00Z,2026-06-18T04:00+08:00,group-stage,小组赛,L,England,Croatia,AT&T Stadium,dallas,Full Time,post,True,4,2,70389,760437,https://www.espn.com/soccer/match/_/gameId/760437/croatia-england,https://www.espn.com/soccer/matchstats/_/gameId/760437,https://www.thestatsapi.com/world-cup/matches/england-vs-croatia-2026-06-17,,TheStatsAPI fixtures + ESPN scoreboard
23,2026-06-17,2026-06-17T17:00:00Z,2026-06-17T17:00:00Z,2026-06-18T01:00+08:00,group-stage,小组赛,K,Portugal,Congo DR,NRG Stadium,houston,Full Time,post,True,1,1,68777,760435,https://www.espn.com/soccer/match/_/gameId/760435/congo-dr-portugal,https://www.espn.com/soccer/matchstats/_/gameId/760435,https://www.thestatsapi.com/world-cup/matches/portugal-vs-congo-dr-2026-06-17,,TheStatsAPI fixtures + ESPN scoreboard
24,2026-06-17,2026-06-18T02:00:00Z,2026-06-18T02:00:00Z,2026-06-18T10:00+08:00,group-stage,小组赛,K,Uzbekistan,Colombia,Estadio Azteca,mexico-city,Full Time,post,True,1,3,80824,760436,https://www.espn.com/soccer/match/_/gameId/760436/colombia-uzbekistan,https://www.espn.com/soccer/matchstats/_/gameId/760436,https://www.thestatsapi.com/world-cup/matches/uzbekistan-vs-colombia-2026-06-17,,TheStatsAPI fixtures + ESPN scoreboard
25,2026-06-18,2026-06-18T16:00:00Z,2026-06-18T16:00:00Z,2026-06-19T00:00+08:00,group-stage,小组赛,A,Czechia,South Africa,Mercedes-Benz Stadium,atlanta,Full Time,post,True,1,1,67442,760438,https://www.espn.com/soccer/match/_/gameId/760438/south-africa-czechia,https://www.espn.com/soccer/matchstats/_/gameId/760438,https://www.thestatsapi.com/world-cup/matches/czechia-vs-south-africa-2026-06-18,,TheStatsAPI fixtures + ESPN scoreboard
26,2026-06-18,2026-06-18T19:00:00Z,2026-06-18T19:00:00Z,2026-06-19T03:00+08:00,group-stage,小组赛,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,los-angeles,Full Time,post,True,4,1,70026,760439,https://www.espn.com/soccer/match/_/gameId/760439/bosnia-herzegovina-switzerland,https://www.espn.com/soccer/matchstats/_/gameId/760439,https://www.thestatsapi.com/world-cup/matches/switzerland-vs-bosnia-and-herzegovina-2026-06-18,,TheStatsAPI fixtures + ESPN scoreboard
27,2026-06-18,2026-06-18T22:00:00Z,2026-06-18T22:00:00Z,2026-06-19T06:00+08:00,group-stage,小组赛,B,Canada,Qatar,BC Place,vancouver,Full Time,post,True,6,0,52497,760440,https://www.espn.com/soccer/match/_/gameId/760440/qatar-canada,https://www.espn.com/soccer/matchstats/_/gameId/760440,https://www.thestatsapi.com/world-cup/matches/canada-vs-qatar-2026-06-18,,TheStatsAPI fixtures + ESPN scoreboard
28,2026-06-18,2026-06-19T01:00:00Z,2026-06-19T01:00:00Z,2026-06-19T09:00+08:00,group-stage,小组赛,A,Mexico,Korea Republic,Estadio Akron,guadalajara,Full Time,post,True,1,0,45522,760441,https://www.espn.com/soccer/match/_/gameId/760441/south-korea-mexico,https://www.espn.com/soccer/matchstats/_/gameId/760441,https://www.thestatsapi.com/world-cup/matches/mexico-vs-korea-republic-2026-06-18,,TheStatsAPI fixtures + ESPN scoreboard
29,2026-06-19,2026-06-20T01:00:00Z,2026-06-20T00:30:00Z,2026-06-20T08:30+08:00,group-stage,小组赛,C,Brazil,Haiti,Lincoln Financial Field,philadelphia,Full Time,post,True,3,0,68324,760444,https://www.espn.com/soccer/match/_/gameId/760444/haiti-brazil,https://www.espn.com/soccer/matchstats/_/gameId/760444,https://www.thestatsapi.com/world-cup/matches/brazil-vs-haiti-2026-06-19,Fixture source kickoff was 2026-06-20T01:00:00Z; ESPN/Zhibo8 aligned kickoff is 2026-06-20T00:30:00Z.,TheStatsAPI fixtures + ESPN scoreboard
30,2026-06-19,2026-06-19T22:00:00Z,2026-06-19T22:00:00Z,2026-06-20T06:00+08:00,group-stage,小组赛,C,Scotland,Morocco,Gillette Stadium,boston,Full Time,post,True,0,1,64146,760445,https://www.espn.com/soccer/match/_/gameId/760445/morocco-scotland,https://www.espn.com/soccer/matchstats/_/gameId/760445,https://www.thestatsapi.com/world-cup/matches/scotland-vs-morocco-2026-06-19,,TheStatsAPI fixtures + ESPN scoreboard
31,2026-06-19,2026-06-20T03:00:00Z,2026-06-20T03:00:00Z,2026-06-20T11:00+08:00,group-stage,小组赛,D,Turkiye,Paraguay,Levi's Stadium,san-francisco,Full Time,post,True,0,1,68827,760443,https://www.espn.com/soccer/match/_/gameId/760443/paraguay-turkiye,https://www.espn.com/soccer/matchstats/_/gameId/760443,https://www.thestatsapi.com/world-cup/matches/turkiye-vs-paraguay-2026-06-19,,TheStatsAPI fixtures + ESPN scoreboard
32,2026-06-19,2026-06-19T19:00:00Z,2026-06-19T19:00:00Z,2026-06-20T03:00+08:00,group-stage,小组赛,D,United States,Australia,Lumen Field,seattle,Full Time,post,True,2,0,66925,760442,https://www.espn.com/soccer/match/_/gameId/760442/australia-united-states,https://www.espn.com/soccer/matchstats/_/gameId/760442,https://www.thestatsapi.com/world-cup/matches/united-states-vs-australia-2026-06-19,,TheStatsAPI fixtures + ESPN scoreboard
33,2026-06-20,2026-06-20T20:00:00Z,2026-06-20T20:00:00Z,2026-06-21T04:00+08:00,group-stage,小组赛,E,Germany,Cote d'Ivoire,BMO Field,toronto,Scheduled,pre,False,0,0,0,760448,https://www.espn.com/soccer/match/_/gameId/760448/ivory-coast-germany,https://www.espn.com/soccer/matchstats/_/gameId/760448,https://www.thestatsapi.com/world-cup/matches/germany-vs-cote-divoire-2026-06-20,,TheStatsAPI fixtures + ESPN scoreboard
34,2026-06-20,2026-06-21T00:00:00Z,2026-06-21T00:00:00Z,2026-06-21T08:00+08:00,group-stage,小组赛,E,Ecuador,Curacao,Arrowhead Stadium,kansas-city,Scheduled,pre,False,0,0,0,760446,https://www.espn.com/soccer/match/_/gameId/760446/curacao-ecuador,https://www.espn.com/soccer/matchstats/_/gameId/760446,https://www.thestatsapi.com/world-cup/matches/ecuador-vs-curacao-2026-06-20,,TheStatsAPI fixtures + ESPN scoreboard
35,2026-06-20,2026-06-20T17:00:00Z,2026-06-20T17:00:00Z,2026-06-21T01:00+08:00,group-stage,小组赛,F,Netherlands,Sweden,NRG Stadium,houston,Halftime,in,False,2,0,0,760447,,https://www.espn.com/soccer/matchstats/_/gameId/760447,https://www.thestatsapi.com/world-cup/matches/netherlands-vs-sweden-2026-06-20,,TheStatsAPI fixtures + ESPN scoreboard
36,2026-06-20,2026-06-21T04:00:00Z,2026-06-21T04:00:00Z,2026-06-21T12:00+08:00,group-stage,小组赛,F,Tunisia,Japan,Estadio BBVA,monterrey,Scheduled,pre,False,0,0,0,760449,https://www.espn.com/soccer/match/_/gameId/760449/japan-tunisia,https://www.espn.com/soccer/matchstats/_/gameId/760449,https://www.thestatsapi.com/world-cup/matches/tunisia-vs-japan-2026-06-20,,TheStatsAPI fixtures + ESPN scoreboard
